fence_style_id,section_id,section_label,section_order,variant_group_id,variant_group_label,variant_group_order,variant_id,variant_label,field_name,field_type,label,tooltip,unit,min,max,step,default_value,options,enabled,required,position,slot_prefix,slot_id,product_sku,product_description,product_price,lookup_rule
glass-bal-standoffs,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,section-length,number,Section Length,Total length of fence section,mm,500,10000,50,3000,,TRUE,TRUE,1,,,,,,,none
glass-bal-standoffs,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,left-gap,number,Left End Gap,Gap at left end of section,mm,0,150,5,50,,TRUE,TRUE,2,,,,,,,none
glass-bal-standoffs,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,right-gap,number,Right End Gap,Gap at right end of section,mm,0,150,5,50,,TRUE,TRUE,3,,,,,,,none
glass-bal-standoffs,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,desired-gap,number,Panel Gap,Desired gap between panels,mm,30,99,5,50,,TRUE,TRUE,4,,,,,,,none
glass-bal-standoffs,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,max-panel-width,number,Max Panel Width,Maximum panel width constraint,mm,400,1200,50,1200,,TRUE,TRUE,5,,,,,,,none
glass-bal-standoffs,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,min-panel-width,number,Min Panel Width,Minimum panel width constraint,mm,200,1000,50,400,,TRUE,FALSE,6,,,,,,,none
glass-bal-standoffs,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,panel-height,number,Panel Height,Glass panel height (15mm glass only),mm,900,1200,50,1000,,TRUE,TRUE,7,BSOP,BSOP-15-1000,BSOP-15-1000,Balustrade Standoff Panel 15mm 1000W,525.00,width_match
glass-bal-standoffs,hardware,Standoff Hardware,2,standoffs,Standoffs,1,standoff-config,Standoff Configuration,standoff-hardware,select,Standoff Finish,Select standoff finish,,,,Satin,Satin,"Polished,Satin,Black,White",TRUE,TRUE,1,BSO,BSO-SATIN,BSO-50-SAT,Standoff 50mm Satin Stainless,55.00,exact_match
